Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,ylabel
1,Hurricane,1,179,99,99,139,74.5822,0
1,Flood,1,298,258,258,239,181.8275,2
1,Flood,1,99,139,139,159,83.0692,2
1,Famine,0,238,139,139,258,248.3948,1
1,Famine,0,358,179,179,219,127.8251,0
1,Famine,0,199,139,139,139,72.1405,1
1,Hurricane,1,179,179,179,219,110.6368,0
1,Famine,1,0,179,179,179,402.8613,1
1,Hurricane,1,159,100,100,179,141.1072,0
1,Famine,0,99,159,159,99,332.6718,0
2,Flood,0,119,99,278,99,81.0555,2
1,Famine,0,219,139,139,278,311.137,1
1,Famine,1,139,199,199,139,381.5659,0
1,Famine,0,80,219,219,99,161.4102,1
1,Flood,1,139,139,139,398,130.6379,2
1,Flood,1,139,139,139,179,303.5103,2
1,Famine,0,139,179,179,795,199.7029,0
2,Flood,0,219,80,179,80,241.5626,2
1,Flood,1,119,99,99,99,212.397,2
2,Famine,1,119,199,477,179,73.5153,1
1,Famine,0,139,179,179,99,155.6767,0
1,Hurricane,0,139,100,100,139,146.4283,1
1,Famine,0,179,100,100,99,184.1962,1
1,Flood,0,179,219,219,179,736.4077,2
1,Famine,1,239,119,119,99,742.8879,0
1,Famine,0,119,100,100,159,112.9436,0
1,Famine,0,139,179,179,99,84.22,1
2,Hurricane,0,219,119,218,219,425.0238,0
1,Flood,1,119,99,99,139,363.0158,2
1,Hurricane,0,139,219,219,100,134.3503,1
1,Famine,0,159,199,199,139,247.5727,0
1,Famine,0,298,239,239,179,204.4798,0
1,Famine,0,139,139,139,139,56.5354,1
1,Famine,0,219,99,99,80,66.7308,0
1,Hurricane,1,139,179,179,119,201.446,0
1,Famine,0,219,179,179,119,258.5595,0
1,Famine,0,298,219,219,179,1236.1789,1
2,Flood,1,358,99,179,219,209.0096,2
1,Famine,0,139,199,199,199,60.2536,0
1,Flood,1,0,99,99,80,97.1043,2
1,Famine,0,99,80,80,0,55.3195,0
1,Famine,1,80,80,80,119,319.188,1
1,Famine,1,139,219,219,318,171.1213,0
1,Famine,0,80,80,80,119,449.2029,1
1,Famine,1,0,139,139,80,201.5589,1
1,Famine,0,20,299,299,179,163.233,0
1,Famine,0,119,238,238,119,135.8538,0
1,Famine,0,99,99,99,99,134.0121,1
1,Flood,1,80,219,219,139,848.5664,2
1,Flood,1,179,20,20,219,471.7648,2
1,Famine,0,140,159,159,219,195.0103,1
1,Famine,0,99,179,179,219,125.5488,1
1,Flood,1,319,279,279,180,234.2845,2
1,Flood,0,239,258,258,139,668.9516,2
1,Famine,0,119,239,239,99,112.5544,0
1,Famine,0,119,99,99,80,195.829,1
1,Flood,1,140,179,179,179,76.2053,2
1,Famine,0,179,139,139,219,111.1227,0
1,Flood,0,179,219,219,219,127.4333,2
1,Famine,0,80,139,139,258,427.7341,0
1,Famine,0,199,338,338,278,118.5591,0
1,Flood,1,318,278,278,199,113.8178,2
1,Famine,1,219,179,179,259,95.3795,0
1,Flood,1,199,159,159,159,320.5016,2
2,Hurricane,1,238,139,238,80,103.2049,1
2,Famine,0,119,139,219,139,162.5123,0
1,Famine,1,199,279,279,199,135.9458,1
1,Flood,1,159,80,80,139,251.3663,2
3,Famine,0,139,80,379,80,411.5368,0
1,Famine,0,179,139,139,159,187.3019,0
1,Famine,1,258,99,99,80,97.3242,0
2,Famine,0,80,80,319,119,149.8332,1
1,Famine,0,99,80,80,99,121.9529,0
1,Famine,0,159,99,99,179,163.6719,1
1,Flood,1,299,239,239,259,210.7048,2
1,Famine,1,139,199,199,179,131.4201,1
1,Flood,0,20,120,120,239,71.3863,2
1,Flood,1,179,139,139,298,86.617,2
2,Famine,1,119,139,278,298,260.1082,1
1,Famine,0,99,199,199,99,161.6052,1
1,Famine,0,139,139,139,119,236.3477,1
1,Flood,1,139,80,80,318,177.863,2
2,Famine,0,258,119,258,457,92.5662,1
1,Famine,0,0,159,159,199,0,0
1,Famine,1,298,139,139,99,494.3099,1
2,Flood,1,99,139,278,179,163.0376,2
1,Hurricane,1,219,239,239,219,132.035,0
1,Famine,1,179,278,278,159,430.4257,0
1,Famine,1,319,219,219,339,142.5219,1
1,Hurricane,1,139,119,119,179,166.1942,1
3,Famine,0,80,80,259,159,269.717,1
1,Famine,1,0,179,179,80,0,0
1,Famine,0,99,259,259,119,166.503,1
1,Flood,1,159,179,179,259,133.9888,2
1,Famine,0,139,219,219,179,356.0621,1
1,Hurricane,1,159,179,179,179,288.5212,0
1,Famine,0,179,379,379,219,141.934,0
1,Famine,0,80,179,179,179,112.5389,0
1,Hurricane,1,199,319,319,239,149.9667,1
1,Famine,0,80,179,179,139,229.9418,0
3,Famine,0,80,100,438,99,139.5726,0
1,Hurricane,1,199,219,219,259,210.0214,0
3,Famine,0,140,20,478,180,266.3691,0
1,Famine,1,0,259,259,199,97.949,1
2,Famine,1,99,239,418,139,728.7059,0
2,Hurricane,1,239,219,538,120,122.083,0
1,Famine,0,239,199,199,139,165.339,0
1,Famine,0,99,139,139,119,698.8664,1
1,Famine,0,119,99,99,80,718.9885,0
2,Famine,0,139,99,179,99,64.158,1
1,Flood,1,159,100,100,179,194.2022,2
1,Famine,0,159,179,179,179,87.7055,1
1,Famine,0,119,139,139,99,142.1452,0
1,Famine,0,159,199,199,80,83.1039,1
2,Famine,1,239,179,259,179,88.8735,1
1,Famine,0,318,238,238,139,409.1314,0
1,Famine,1,139,119,119,179,89.0688,0
1,Famine,0,278,239,239,159,159.0637,1
2,Famine,0,279,239,458,199,163.7208,0
1,Hurricane,1,119,139,139,199,199.3847,0
1,Flood,1,238,99,99,219,325.7779,2
1,Famine,0,139,99,99,99,194.5925,0
1,Famine,1,0,100,100,99,0,1
1,Famine,0,179,258,258,239,245.0862,1
1,Hurricane,1,199,219,219,139,181.2078,1
1,Flood,1,119,179,179,139,72.5603,2
1,Flood,1,0,139,139,139,152.8962,2
1,Hurricane,1,119,119,119,80,367.7479,0
2,Flood,1,179,80,319,179,301.2682,2
1,Flood,0,139,219,219,199,139.5323,2
1,Hurricane,1,199,80,80,139,51.6188,1
2,Famine,1,119,100,200,219,136.2736,0
1,Famine,1,80,80,80,139,99.0454,0
1,Flood,0,179,180,180,219,1211.2236,2
1,Hurricane,1,119,80,80,219,121.0372,0
2,Famine,1,119,99,218,258,121.4434,0
1,Famine,0,139,139,139,139,75.0417,1
1,Famine,1,99,238,238,139,212.9941,1
1,Famine,1,179,239,239,199,121.501,1
2,Hurricane,1,119,80,219,119,71.6746,1
1,Famine,0,99,219,219,139,171.0592,0
1,Hurricane,1,159,179,179,239,589.8782,0
1,Famine,0,259,80,80,140,136.5742,1
2,Famine,0,99,199,318,80,269.2438,1
1,Hurricane,1,179,139,139,219,195.9751,1
1,Flood,1,219,99,99,298,221.6444,2
1,Hurricane,1,100,80,80,159,1084.5796,0
1,Famine,1,318,258,258,159,201.4528,0
4,Flood,0,99,259,716,0,62.7873,2
1,Flood,0,239,199,199,99,116.3497,2
1,Famine,1,0,99,99,80,246.7007,0
2,Famine,1,139,477,616,139,258.0891,0
2,Famine,0,298,99,198,199,172.5007,1
1,Famine,0,159,179,179,139,245.848,0
1,Famine,1,20,279,279,179,661.376,1
1,Famine,1,139,418,418,219,338.0444,0
2,Flood,1,179,159,278,258,267.6402,2
2,Famine,1,219,219,378,199,114.2147,1
1,Flood,0,179,279,279,538,117.2732,2
2,Famine,1,80,119,358,80,91.9239,0
1,Famine,1,179,219,219,140,177.7196,0
1,Flood,0,278,219,219,199,171.5066,2
1,Famine,0,99,99,99,159,183.1427,1
1,Hurricane,1,119,80,80,80,263.7698,1
1,Famine,1,258,278,278,159,433.6525,1
1,Famine,0,179,238,238,100,290.0108,1
1,Famine,0,99,139,139,179,148.0076,1
1,Flood,0,199,179,179,139,176.3094,2
2,Famine,0,0,298,397,179,0,0
1,Famine,0,179,219,219,119,263.5384,0
1,Flood,1,219,179,179,119,133.6581,2
1,Flood,1,0,99,99,119,65.3911,2
1,Famine,0,139,119,119,219,238.0137,0
1,Hurricane,0,238,199,199,80,177.5176,0
1,Famine,1,139,139,139,179,471.9883,1
1,Hurricane,1,199,139,139,99,25.005,1
1,Flood,0,279,219,219,279,111.7016,2
1,Famine,1,199,199,199,99,454.437,0
1,Famine,0,139,338,338,139,1054.0126,1
1,Hurricane,1,119,159,159,258,154.1752,1
1,Flood,1,139,179,179,179,634.0712,2
1,Famine,0,99,219,219,298,66.7271,1
1,Famine,0,119,139,139,239,585.1566,0
1,Famine,0,179,119,119,99,251.0403,1
1,Famine,0,80,100,100,139,83.5374,0
1,Flood,0,119,99,99,80,90.312,2
1,Famine,0,219,119,119,238,115.0532,0
1,Famine,0,239,179,179,179,108.5092,1
1,Flood,1,119,99,99,179,399.3207,2
1,Famine,1,99,179,179,80,101.8847,1
1,Flood,0,298,139,139,358,273.1616,2
1,Flood,1,139,99,99,179,526.1428,2
1,Flood,1,119,119,119,179,201.6358,2
1,Famine,1,298,199,199,298,85.3361,0
2,Famine,0,359,219,239,140,71.1354,0
1,Flood,1,159,298,298,139,153.9692,2
1,Famine,0,119,239,239,139,208.5599,1
1,Famine,0,179,99,99,199,285.0425,0
1,Famine,1,378,258,258,199,919.1632,0
1,Famine,1,139,139,139,99,114.0395,1
1,Flood,1,80,139,139,219,101.7472,2
1,Flood,0,199,278,278,219,137.609,2
1,Famine,0,139,100,100,99,209.6527,0
1,Famine,0,139,139,139,119,67.5666,0
1,Hurricane,1,99,139,139,99,565.0179,1
2,Famine,0,0,159,298,179,0,0
1,Hurricane,1,139,99,99,80,139.0189,1
1,Flood,0,179,99,99,199,112.0179,2
1,Famine,0,80,99,99,179,1074.1036,0
1,Flood,0,199,179,179,119,89.0084,2
2,Flood,0,159,139,238,179,440.1548,2
1,Hurricane,1,179,139,139,278,99.1073,0
1,Famine,0,179,80,80,159,214.8354,0
1,Hurricane,0,338,199,199,378,79.5393,1
2,Famine,0,199,139,278,179,456.7631,0
1,Famine,0,299,239,239,219,110.8659,1
1,Famine,1,199,159,159,298,101.2978,1
1,Famine,0,159,80,80,159,77.2431,0
2,Famine,1,119,139,278,298,76.5914,1
4,Famine,1,139,199,915,199,178.5175,0
1,Famine,0,99,238,238,80,342.8119,0
1,Flood,1,99,139,139,99,560.9503,2
2,Famine,0,179,99,278,298,239.1025,0
1,Famine,0,139,179,179,119,37.7127,0
1,Famine,0,120,20,20,299,503.1073,0
2,Famine,0,80,159,278,100,135.559,0
1,Famine,0,139,159,159,159,112.8683,1
1,Famine,0,159,99,99,99,136.2654,1
1,Famine,0,219,120,120,100,110.0102,1
1,Famine,0,99,139,139,99,58.5085,1
1,Flood,1,99,179,179,179,622.6062,2
1,Famine,1,438,139,139,299,87.9616,1
2,Flood,1,279,239,259,319,186.1323,2
1,Famine,0,239,199,199,139,85.0235,1
1,Famine,0,239,119,119,179,68.2495,0
1,Famine,0,139,199,199,199,37.8319,0
1,Famine,0,80,119,119,80,342.4708,1
1,Hurricane,1,199,80,80,20,197.2777,0
2,Flood,1,179,238,417,99,138.5577,2
2,Hurricane,1,239,219,358,258,125.3635,1
1,Famine,0,199,99,99,159,161.698,0
1,Famine,0,179,100,100,159,274.0164,0
1,Famine,0,80,139,139,80,113.7036,0
1,Flood,0,119,159,159,219,98.1759,2
1,Famine,0,199,139,139,179,127.9932,0
1,Famine,1,159,259,259,120,321.0876,1
1,Famine,0,199,179,179,179,289.5155,0
1,Hurricane,1,80,298,298,119,96.9239,1
1,Hurricane,1,139,239,239,219,140.6289,1
1,Famine,0,0,239,239,279,0,0
1,Famine,0,119,179,179,139,242.8482,1
1,Famine,0,219,199,199,80,76.6632,0
1,Flood,1,20,1036,1036,359,341.9521,2
1,Flood,1,179,219,219,219,333.4764,2
1,Famine,0,199,179,179,80,348.023,0
1,Hurricane,0,179,259,259,139,90.8102,0
1,Famine,0,258,80,80,119,176.5574,1
1,Flood,0,179,219,219,338,198.2303,2
1,Hurricane,1,199,119,119,139,236.244,1
1,Famine,0,179,219,219,179,282.799,0
2,Famine,0,338,139,219,179,227.2427,0
1,Famine,0,258,179,179,139,115.5011,0
3,Famine,0,358,139,377,199,327.3912,0
2,Famine,0,179,199,418,219,195.523,0
1,Flood,1,179,338,338,139,668.5825,2
