Name,Station,Time,Homogeniserd mean temperature (month)
Oslo - Øvre Vollgate,SN18654,1.1816,-5
Oslo - Øvre Vollgate,SN18654,2.1816,-7.3
Oslo - Øvre Vollgate,SN18654,3.1816,-4.9
Oslo - Øvre Vollgate,SN18654,4.1816,1.8
Oslo - Øvre Vollgate,SN18654,5.1816,6.1
Oslo - Øvre Vollgate,SN18654,6.1816,13.1
Oslo - Øvre Vollgate,SN18654,7.1816,16.4
Oslo - Øvre Vollgate,SN18654,8.1816,12.2
Oslo - Øvre Vollgate,SN18654,9.1816,8.9
Oslo - Øvre Vollgate,SN18654,10.1816,3.5
Oslo - Øvre Vollgate,SN18654,11.1816,-1
Oslo - Øvre Vollgate,SN18654,12.1816,-3.3
Oslo - Øvre Vollgate,SN18654,1.1817,-1.7
Oslo - Øvre Vollgate,SN18654,2.1817,-1.1
Oslo - Øvre Vollgate,SN18654,3.1817,-2.6
Oslo - Øvre Vollgate,SN18654,4.1817,2.3
Oslo - Øvre Vollgate,SN18654,5.1817,8.1
Oslo - Øvre Vollgate,SN18654,6.1817,12.2
Oslo - Øvre Vollgate,SN18654,7.1817,14.2
Oslo - Øvre Vollgate,SN18654,8.1817,12.2
Oslo - Øvre Vollgate,SN18654,9.1817,10.6
Oslo - Øvre Vollgate,SN18654,10.1817,1.2
Oslo - Øvre Vollgate,SN18654,11.1817,0.4
Oslo - Øvre Vollgate,SN18654,12.1817,-9.1
Oslo - Øvre Vollgate,SN18654,1.1818,-5.8
Oslo - Øvre Vollgate,SN18654,2.1818,-4.4
Oslo - Øvre Vollgate,SN18654,3.1818,-1.7
Oslo - Øvre Vollgate,SN18654,4.1818,-0.2
Oslo - Øvre Vollgate,SN18654,5.1818,7.9
Oslo - Øvre Vollgate,SN18654,6.1818,14.2
Oslo - Øvre Vollgate,SN18654,7.1818,16.8
Oslo - Øvre Vollgate,SN18654,8.1818,12.1
Oslo - Øvre Vollgate,SN18654,9.1818,10
Oslo - Øvre Vollgate,SN18654,10.1818,6.6
Oslo - Øvre Vollgate,SN18654,11.1818,2.4
Oslo - Øvre Vollgate,SN18654,12.1818,0.4
Oslo - Øvre Vollgate,SN18654,1.1819,-0.7
Oslo - Øvre Vollgate,SN18654,2.1819,-2.6
Oslo - Øvre Vollgate,SN18654,3.1819,-0.9
Oslo - Øvre Vollgate,SN18654,4.1819,3.9
Oslo - Øvre Vollgate,SN18654,5.1819,9.1
Oslo - Øvre Vollgate,SN18654,6.1819,14.2
Oslo - Øvre Vollgate,SN18654,7.1819,17.9
